Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;28 Madrid;28062 Garganta de los Montes;De 40 a 44 años;1 de enero de 2021;32
Total;28 Madrid;28062 Garganta de los Montes;De 45 a 49 años;1 de enero de 2021;41
Total;28 Madrid;28062 Garganta de los Montes;De 50 a 54 años;1 de enero de 2021;35
Total;28 Madrid;28062 Garganta de los Montes;De 55 a 59 años;1 de enero de 2021;33
Total;28 Madrid;28062 Garganta de los Montes;De 60 a 64 años;1 de enero de 2021;39
Total;28 Madrid;28062 Garganta de los Montes;De 65 a 69 años;1 de enero de 2021;33
Total;28 Madrid;28062 Garganta de los Montes;De 70 a 74 años  ;1 de enero de 2021;14
Total;28 Madrid;28062 Garganta de los Montes;De 75 a 79 años  ;1 de enero de 2021;16
Total;28 Madrid;28062 Garganta de los Montes;De 80 a 84 años  ;1 de enero de 2021;10
Total;28 Madrid;28062 Garganta de los Montes;De 85 a 89 años  ;1 de enero de 2021;7
Total;28 Madrid;28062 Garganta de los Montes;De 90 a 94 años  ;1 de enero de 2021;3
Total;28 Madrid;28062 Garganta de los Montes;De 95 a 99 años  ;1 de enero de 2021;1
Total;28 Madrid;28062 Garganta de los Montes;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 0 a 4 años;1 de enero de 2021;4
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 5 a 9 años;1 de enero de 2021;12
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 10 a 14 años  ;1 de enero de 2021;23
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 15 a 19 años  ;1 de enero de 2021;12
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 20 a 24 años;1 de enero de 2021;10
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 25 a 29 años;1 de enero de 2021;9
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 30 a 34 años;1 de enero de 2021;15
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 35 a 39 años;1 de enero de 2021;23
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 40 a 44 años;1 de enero de 2021;20
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 45 a 49 años;1 de enero de 2021;39
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 50 a 54 años;1 de enero de 2021;43
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 55 a 59 años;1 de enero de 2021;32
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 60 a 64 años;1 de enero de 2021;29
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 65 a 69 años;1 de enero de 2021;20
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 70 a 74 años  ;1 de enero de 2021;23
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 75 a 79 años  ;1 de enero de 2021;10
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 80 a 84 años  ;1 de enero de 2021;10
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 85 a 89 años  ;1 de enero de 2021;5
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 90 a 94 años  ;1 de enero de 2021;4
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 95 a 99 años  ;1 de enero de 2021;1
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28064 Gascones;De 0 a 4 años;1 de enero de 2021;4
Total;28 Madrid;28064 Gascones;De 5 a 9 años;1 de enero de 2021;7
Total;28 Madrid;28064 Gascones;De 10 a 14 años  ;1 de enero de 2021;17
Total;28 Madrid;28064 Gascones;De 15 a 19 años  ;1 de enero de 2021;8
Total;28 Madrid;28064 Gascones;De 20 a 24 años;1 de enero de 2021;9
Total;28 Madrid;28064 Gascones;De 25 a 29 años;1 de enero de 2021;14
Total;28 Madrid;28064 Gascones;De 30 a 34 años;1 de enero de 2021;13
Total;28 Madrid;28064 Gascones;De 35 a 39 años;1 de enero de 2021;11
